ID,ER_METHOD,Value,Measure
101,UNINSTRUCTED,-0.220520804,GSR
101,UNINSTRUCTED,-0.180789558,CS
101,UNINSTRUCTED,0.061307467,LL
101,SUPPRESS,0.903185147,GSR
101,SUPPRESS,0.092053783,CS
101,SUPPRESS,-0.084209265,LL
101,REAPPRAISE,-0.222218055,GSR
101,REAPPRAISE,0.246869193,CS
101,REAPPRAISE,0.204708847,LL
102,UNINSTRUCTED,0.182584991,GSR
102,UNINSTRUCTED,0.656069714,CS
102,UNINSTRUCTED,-0.104859486,LL
102,SUPPRESS,-0.055050665,GSR
102,SUPPRESS,0.003348481,CS
102,SUPPRESS,-0.08551163,LL
102,REAPPRAISE,0.138784946,GSR
102,REAPPRAISE,-0.32048873,CS
102,REAPPRAISE,-0.143028069,LL
103,UNINSTRUCTED,0.317589731,GSR
103,UNINSTRUCTED,-0.435993044,CS
103,UNINSTRUCTED,0.407775039,LL
103,SUPPRESS,0.26625884,GSR
103,SUPPRESS,0.043139275,CS
103,SUPPRESS,-0.122813683,LL
103,REAPPRAISE,-1.005905341,GSR
103,REAPPRAISE,-0.115214642,CS
103,REAPPRAISE,-0.410205561,LL
104,UNINSTRUCTED,0.043785386,GSR
104,UNINSTRUCTED,-0.115484187,CS
104,UNINSTRUCTED,-0.010199765,LL
104,SUPPRESS,0.143363613,GSR
104,SUPPRESS,-0.036482553,CS
104,SUPPRESS,0.339219514,LL
104,REAPPRAISE,-0.154569659,GSR
104,REAPPRAISE,-0.036482553,CS
104,REAPPRAISE,-0.103784719,LL
105,UNINSTRUCTED,0.18024065,GSR
105,UNINSTRUCTED,0.249418896,CS
105,UNINSTRUCTED,-0.159422648,LL
105,SUPPRESS,0.111645777,GSR
105,SUPPRESS,-0.307501447,CS
105,SUPPRESS,-0.36709454,LL
105,REAPPRAISE,-0.051567649,GSR
105,REAPPRAISE,-0.077386508,CS
105,REAPPRAISE,0.02190749,LL
106,UNINSTRUCTED,0.452586616,GSR
106,UNINSTRUCTED,-0.300130584,CS
106,UNINSTRUCTED,0.061029405,LL
106,SUPPRESS,-0.038961628,GSR
106,SUPPRESS,-0.049908118,CS
106,SUPPRESS,0.152780469,LL
106,REAPPRAISE,-0.011532265,GSR
106,REAPPRAISE,-0.267315219,CS
106,REAPPRAISE,-0.049202068,LL
107,UNINSTRUCTED,0.107947797,GSR
107,UNINSTRUCTED,-0.329365611,CS
107,UNINSTRUCTED,-0.143018189,LL
107,SUPPRESS,-0.001038737,GSR
107,SUPPRESS,-0.123322336,CS
107,SUPPRESS,-0.060403205,LL
107,REAPPRAISE,0.103352683,GSR
107,REAPPRAISE,-0.258235655,CS
107,REAPPRAISE,-0.006858136,LL
108,UNINSTRUCTED,0.168134147,GSR
108,UNINSTRUCTED,-0.146072361,CS
108,UNINSTRUCTED,-0.249035547,LL
108,SUPPRESS,0.152286136,GSR
108,SUPPRESS,0.030446391,CS
108,SUPPRESS,0.014947915,LL
108,REAPPRAISE,-0.668495011,GSR
108,REAPPRAISE,0.441152116,CS
108,REAPPRAISE,-0.619936081,LL
109,UNINSTRUCTED,0.02758832,GSR
109,UNINSTRUCTED,-0.999681327,CS
109,UNINSTRUCTED,-0.412377831,LL
109,SUPPRESS,-0.085883634,GSR
109,SUPPRESS,-0.138738339,CS
109,SUPPRESS,-0.305081232,LL
109,REAPPRAISE,-0.189803143,GSR
109,REAPPRAISE,-0.024024601,CS
109,REAPPRAISE,0.003454153,LL
110,UNINSTRUCTED,0.25468777,GSR
110,UNINSTRUCTED,0.544635954,CS
110,UNINSTRUCTED,-0.361406092,LL
110,SUPPRESS,-0.077890858,GSR
110,SUPPRESS,0.30064199,CS
110,SUPPRESS,0.050836626,LL
110,REAPPRAISE,0.199708068,GSR
110,REAPPRAISE,0.185598723,CS
110,REAPPRAISE,0.182786652,LL
111,UNINSTRUCTED,0.118624505,GSR
111,UNINSTRUCTED,-0.023976879,CS
111,UNINSTRUCTED,-0.115110692,LL
111,SUPPRESS,-0.156761915,GSR
111,SUPPRESS,0.381373561,CS
111,SUPPRESS,-0.458403701,LL
111,REAPPRAISE,0.029853045,GSR
111,REAPPRAISE,0.17536685,CS
111,REAPPRAISE,-0.033881044,LL
112,UNINSTRUCTED,-0.250214106,GSR
112,UNINSTRUCTED,-0.069963212,CS
112,UNINSTRUCTED,0.074688852,LL
112,SUPPRESS,0.023187754,GSR
112,SUPPRESS,0.205907529,CS
112,SUPPRESS,0.055197508,LL
112,REAPPRAISE,0.074413938,GSR
112,REAPPRAISE,0.046049074,CS
112,REAPPRAISE,0.03559732,LL
114,UNINSTRUCTED,0.15189843,GSR
114,UNINSTRUCTED,0.493547853,CS
114,UNINSTRUCTED,0.221507212,LL
114,SUPPRESS,-0.109879082,GSR
114,SUPPRESS,-0.012517863,CS
114,SUPPRESS,0.050095035,LL
114,REAPPRAISE,0.012921851,GSR
114,REAPPRAISE,-0.040667975,CS
114,REAPPRAISE,0.50968808,LL
116,UNINSTRUCTED,0.964569096,GSR
116,UNINSTRUCTED,-0.623011954,CS
116,UNINSTRUCTED,-0.211632956,LL
116,SUPPRESS,0.257167973,GSR
116,SUPPRESS,-0.045874601,CS
116,SUPPRESS,0.173593009,LL
116,REAPPRAISE,0.151690223,GSR
116,REAPPRAISE,-0.054001525,CS
116,REAPPRAISE,-0.013569724,LL
117,UNINSTRUCTED,-0.636117228,GSR
117,UNINSTRUCTED,0.204869336,CS
117,UNINSTRUCTED,0.400784067,LL
117,SUPPRESS,-0.649464669,GSR
117,SUPPRESS,-0.099933311,CS
117,SUPPRESS,-0.256497261,LL
117,REAPPRAISE,-0.817697473,GSR
117,REAPPRAISE,0.138780909,CS
117,REAPPRAISE,-0.143505998,LL
118,UNINSTRUCTED,0.066221863,GSR
118,UNINSTRUCTED,-0.533842617,CS
118,UNINSTRUCTED,0.182686142,LL
118,SUPPRESS,0.074362838,GSR
118,SUPPRESS,0.141860947,CS
118,SUPPRESS,0.176152745,LL
118,REAPPRAISE,-0.174352322,GSR
118,REAPPRAISE,-0.028780873,CS
118,REAPPRAISE,0.171995393,LL
119,UNINSTRUCTED,-0.284390752,GSR
119,UNINSTRUCTED,0.308209102,CS
119,UNINSTRUCTED,0.1859657,LL
119,SUPPRESS,-0.157625497,GSR
119,SUPPRESS,0.237847575,CS
119,SUPPRESS,0.141819939,LL
119,REAPPRAISE,-0.896238521,GSR
119,REAPPRAISE,0.101768921,CS
119,REAPPRAISE,-0.109130583,LL
120,UNINSTRUCTED,0.046015787,GSR
120,UNINSTRUCTED,-0.117595176,CS
120,UNINSTRUCTED,-0.13041046,LL
120,SUPPRESS,0.147952725,GSR
120,SUPPRESS,0.035695456,CS
120,SUPPRESS,-0.09040963,LL
120,REAPPRAISE,-0.395190846,GSR
120,REAPPRAISE,-0.14921198,CS
120,REAPPRAISE,-0.179041565,LL
121,UNINSTRUCTED,0.24869331,GSR
121,UNINSTRUCTED,0.215662932,CS
121,UNINSTRUCTED,0.026724214,LL
121,SUPPRESS,-0.033857912,GSR
121,SUPPRESS,-0.023332906,CS
121,SUPPRESS,0.00822819,LL
121,REAPPRAISE,-0.120146751,GSR
121,REAPPRAISE,-0.066879715,CS
121,REAPPRAISE,-0.046449322,LL
122,UNINSTRUCTED,-0.58602979,GSR
122,UNINSTRUCTED,0.548989478,CS
122,UNINSTRUCTED,-0.076341299,LL
122,SUPPRESS,0.147139271,GSR
122,SUPPRESS,0.159809621,CS
122,SUPPRESS,-0.196180722,LL
122,REAPPRAISE,0.203832426,GSR
122,REAPPRAISE,-0.060119647,CS
122,REAPPRAISE,-0.043528571,LL
123,UNINSTRUCTED,-0.245885369,GSR
123,UNINSTRUCTED,-0.255309105,CS
123,UNINSTRUCTED,-0.021245632,LL
123,SUPPRESS,-0.545114536,GSR
123,SUPPRESS,0.226404176,CS
123,SUPPRESS,-0.252037469,LL
123,REAPPRAISE,-0.226202121,GSR
123,REAPPRAISE,0.124048397,CS
123,REAPPRAISE,-0.059366346,LL
124,UNINSTRUCTED,-1.112554299,GSR
124,UNINSTRUCTED,0.087275809,CS
124,UNINSTRUCTED,0.094337135,LL
124,SUPPRESS,-0.244827535,GSR
124,SUPPRESS,-0.039302257,CS
124,SUPPRESS,-0.056989712,LL
124,REAPPRAISE,-0.161397036,GSR
124,REAPPRAISE,0.087469595,CS
124,REAPPRAISE,0.162981322,LL
125,UNINSTRUCTED,-0.310449804,GSR
125,UNINSTRUCTED,0.034757302,CS
125,UNINSTRUCTED,0.220676506,LL
125,SUPPRESS,0.157280038,GSR
125,SUPPRESS,-0.025182375,CS
125,SUPPRESS,0.273764794,LL
125,REAPPRAISE,-0.054556531,GSR
125,REAPPRAISE,0.008909175,CS
125,REAPPRAISE,0.015597345,LL
126,UNINSTRUCTED,-0.071103095,GSR
126,UNINSTRUCTED,0.785136232,CS
126,UNINSTRUCTED,-0.237238553,LL
126,SUPPRESS,0.103718033,GSR
126,SUPPRESS,-0.58578149,CS
126,SUPPRESS,-0.028174423,LL
126,REAPPRAISE,-0.04299974,GSR
126,REAPPRAISE,-0.028384777,CS
126,REAPPRAISE,-0.030055261,LL
127,UNINSTRUCTED,-0.317072835,GSR
127,UNINSTRUCTED,-0.190559471,CS
127,UNINSTRUCTED,0.315348115,LL
127,SUPPRESS,0.181498291,GSR
127,SUPPRESS,0.040245509,CS
127,SUPPRESS,0.317500112,LL
127,REAPPRAISE,0.070559585,GSR
127,REAPPRAISE,0.014262963,CS
127,REAPPRAISE,-0.03214821,LL
128,UNINSTRUCTED,0.377412087,GSR
128,UNINSTRUCTED,0.711430514,CS
128,UNINSTRUCTED,0.950082501,LL
128,SUPPRESS,-0.021373074,GSR
128,SUPPRESS,-0.071552311,CS
128,SUPPRESS,-0.135505608,LL
128,REAPPRAISE,-0.123367888,GSR
128,REAPPRAISE,-0.057279932,CS
128,REAPPRAISE,-0.03874578,LL
129,UNINSTRUCTED,-0.261298223,GSR
129,UNINSTRUCTED,0.248472622,CS
